legitimate,level,lemma
True,A1,stee
True,A1,see
True,A1,secent
False,A1,sens
True,A1,provider
True,A1,ara
True,A1,serve
True,A1,procession
True,A1,senside
True,A1,consert
True,A1,personal
True,A1,meth
True,A1,secess
True,A1,compose
False,A1,repressed
True,A1,sell
True,A1,secure
True,A1,stain
True,A1,para
True,A1,mark
True,A1,beak
False,A1,sens
True,A1,sear
False,A1,paras
True,A1,senside
False,A1,sent
True,A1,sing
True,A1,seep
True,A1,delicate
False,A1,decessed
True,A1,consent
True,A1,fort
True,A1,substand
True,A1,adder
True,A1,conter
True,A1,conser
True,A1,stand
True,A1,an
True,A1,seal
True,A1,decomple
True,A1,comple
True,A1,decomment
True,A1,serve
True,A1,stand
True,A1,substance
True,A1,accesse
False,A1,seces
True,A1,flay
True,A1,comment
True,A1,parance
True,A2,ana
True,A2,consident
True,A2,dissent
True,A2,composition
True,A2,constraction
True,A2,substance
True,A2,consult
True,A2,present
True,A2,compression
True,A2,present
False,A2,accomparies
True,A2,internation
True,A2,contral
True,A2,consult
True,A2,personal
True,A2,constract
True,A2,consident
True,A2,strict
True,A2,consure
True,A2,comper
True,A2,comple
True,A2,personal
True,A2,deferent
True,A2,onn
True,A2,accomment
True,A2,para
True,A2,decompose
True,A2,depression
True,A2,ontian
True,A2,composition
True,A2,constary
True,A2,intervise
True,A2,contraction
True,A2,advision
True,A2,convertion
True,A2,paraction
True,A2,consult
True,A2,dart
True,A2,advision
True,A2,spart
True,A2,stread
True,A2,consultable
True,A2,anter
True,A2,procession
True,A2,contraction
True,A2,asserval
True,A2,arist
True,A2,accompary
True,A2,contraction
True,A2,disconsion
True,B1,construction
True,B1,alist
True,B1,consulation
True,B1,compless
True,B1,consulting
True,B1,mark
True,B1,substance
True,B1,tort
True,B1,present
True,B1,artic
True,B1,proparation
False,B1,stripting
True,B1,compless
True,B1,proportion
False,B1,compers
True,B1,start
True,B1,substitution
True,B1,beaker
False,B1,sensers
True,B1,compressible
True,B1,subscription
False,B1,hards
True,B1,consumment
False,B1,strangers
True,B1,respection
True,B1,arman
True,B1,proparation
True,B1,pursual
True,B1,tender
True,B1,polling
True,B1,consultion
True,B1,resent
True,B1,amphan
True,B1,screep
False,B1,asserting
True,B1,conserve
True,B1,consultion
True,B1,disconsity
True,B1,acan
False,B1,delicated
True,B1,steal
True,B1,consultion
False,B1,compers
True,B1,anney
True,B1,consulting
False,B1,defended
True,B1,substance
True,B1,concentration
True,B1,steep
False,B1,compers
False,B2,disconting
True,B2,deposition
False,B2,stripped
True,B2,indivition
False,B2,reversed
True,B2,construction
True,B2,singer
True,B2,constitute
True,B2,concentrate
True,B2,contraction
True,B2,contraction
True,B2,constitution
True,B2,compless
True,B2,compless
True,B2,constitution
True,B2,formal
True,B2,constality
True,B2,annia
True,B2,constitution
False,B2,grown
True,B2,delicity
True,B2,proparation
True,B2,sensidence
False,B2,consulted
True,B2,merchand
True,B2,aratian
True,B2,construction
True,B2,depression
True,B2,disconsion
True,B2,constriction
True,B2,denitation
True,B2,convert
True,B2,picket
True,B2,parasion
True,B2,tender
True,B2,interporation
True,B2,ana
True,B2,disconsion
False,B2,starring
True,B2,prosession
True,B2,composition
True,B2,consulting
False,B2,searing
True,B2,consulting
False,B2,parading
True,B2,construction
False,B2,tricked
True,B2,anter
True,B2,consulting
True,B2,parantic
False,C1,dispers
False,C1,starded
True,C1,invation
False,C1,retains
True,C1,contraction
True,C1,profession
True,C1,encomparation
True,C1,confinction
False,C1,stilled
False,C1,disserved
True,C1,delicate
True,C1,repression
False,C1,booked
True,C1,meterial
True,C1,competic
False,C1,sponged
True,C1,constitution
True,C1,contention
False,C1,bogged
True,C1,telegation
False,C1,galled
True,C1,constitution
True,C1,confinction
False,C1,performing
True,C1,constraction
True,C1,strange
True,C1,precention
False,C1,barbed
True,C1,proposition
True,C1,dissent
True,C1,accompose
True,C1,steeper
True,C1,constitution
False,C1,senting
True,C1,construction
True,C1,studge
False,C1,carded
True,C1,constitution
True,C1,convertion
True,C1,constitution
True,C1,disapposition
True,C1,construction
True,C1,resident
False,C1,stracked
True,C1,consteration
True,C1,substance
True,C1,hodister
True,C1,concentress
False,C1,maling
False,C1,disenting
True,C2,hooter
False,C2,fancers
True,C2,constation
True,C2,reconstrate
False,C2,steeped
True,C2,strangle
True,C2,desinter
True,C2,confersive
True,C2,ambitation
True,C2,screed
True,C2,constitution
True,C2,screament
True,C2,concertion
False,C2,storest
True,C2,transcrapher
True,C2,depressively
False,C2,states
True,C2,policitation
False,C2,experting
True,C2,caradism
True,C2,deconsition
True,C2,consultation
False,C2,desconted
False,C2,stopped
True,C2,contraction
True,C2,substance
True,C2,constriction
False,C2,beaded
False,C2,steeled
True,C2,crossition
True,C2,discortion
False,C2,surversions
False,C2,parances
True,C2,convertion
True,C2,experimentation
True,C2,constitution
True,C2,constermical
True,C2,conformation
True,C2,understance
True,C2,contraction
True,C2,distraction
True,C2,steer
True,C2,construction
True,C2,suppersion
True,C2,consolic
True,C2,paller
True,C2,constriction
True,C2,promission
True,C2,performan
True,C2,strangle
