legitimate,level,lemma
True,A1,соответственный
True,A1,выражать
True,A1,причинение
True,A1,продолжать
True,A1,поворачивать
True,A1,придавить
True,A1,наследить
False,A1,успокое
True,A1,свободный
True,A1,послушать
True,A1,закрыть
True,A1,закрыться
True,A1,выпуск
True,A1,соответствующий
False,A1,подъеди
True,A1,сочинять
True,A1,продавить
False,A1,солежать
True,A1,приобретать
True,A1,посмешить
True,A1,остановить
False,A1,препятние
True,A1,положе
False,A1,приюз
True,A1,прибивать
True,A1,серди
True,A1,пропускаться
True,A1,задать
True,A1,ожесточение
True,A1,сократиться
True,A1,устой
True,A1,заступление
False,A1,промышление
True,A1,признание
True,A1,предстояние
True,A1,походить
True,A1,придерживать
True,A1,заинтересоваться
True,A1,простой
True,A1,преступление
True,A1,заготовить
True,A1,проверить
True,A1,постановление
False,A1,поборный
False,A1,провержение
True,A1,выжимать
True,A1,задавить
True,A1,встревать
True,A1,признаваться
True,A1,затвор
True,A1,век
True,A1,пригнать
False,A1,свобождаться
False,A1,склететь
True,A1,найти
True,A1,увеличение
False,A1,довернуться
True,A1,заглядывать
True,A1,сохранение
True,A1,обид
True,A1,привести
True,A1,постановка
True,A1,установление
False,A1,сообраз
True,A1,заключать
False,A2,достовать
False,A2,прислушивать
True,A2,заклад
True,A2,продав
False,A2,упрепят
True,A2,прослушать
True,A2,подъем
True,A2,заговор
True,A2,отсечь
True,A2,выпускаться
True,A2,извинить
True,A2,послушаться
False,A2,уземный
True,A2,приходиться
True,A2,затаскивать
True,A2,закладывать
False,A2,озвучать
False,A2,убий
True,A2,пасса
True,A2,приклониться
False,A2,пошевение
False,A2,последоваться
True,A2,прожимать
False,A2,небыточно
True,A2,пояснение
True,A2,резой
True,A2,закрывать
True,A2,выплачивать
False,A2,провергнуть
False,A2,заправный
True,A2,составляться
True,A2,наполнение
False,A2,подерживать
True,A2,придумать
True,A2,прогностика
True,A2,наследовать
False,A2,учевать
False,A2,насторонний
True,A2,отвалиться
True,A2,дифференцироваться
False,A2,похватить
True,A2,угром
False,A2,акадет
True,A2,мотивированный
False,A2,поправитель
True,A2,заключение
True,A2,прочеркнуть
False,A2,отвинить
True,A2,усылать
True,A2,покроить
True,A2,безобразие
True,A2,затекать
True,A2,привет
True,A2,выключение
True,A2,пристав
False,A2,ущел
True,A2,пограничный
True,A2,разъезд
True,A2,поигрывать
False,A2,наглядывать
True,A2,сопоставить
True,A2,выплатить
True,A2,подработать
True,A2,налагать
True,A2,отклонить
True,A2,негодный
